2026-05-21 10:07:46 | INFO     | spider.longchau | Lấy danh sách trang 95: https://nhathuoclongchau.com.vn/thuoc?page=95
2026-05-21 10:07:50 | INFO     | spider.longchau | Trang 95: 11 sản phẩm
2026-05-21 10:07:50 | INFO     | spider.longchau | Lấy danh sách trang 96: https://nhathuoclongchau.com.vn/thuoc?page=96
2026-05-21 10:07:54 | INFO     | spider.longchau | Trang 96: 11 sản phẩm
2026-05-21 10:07:54 | INFO     | spider.longchau | Lấy danh sách trang 97: https://nhathuoclongchau.com.vn/thuoc?page=97
2026-05-21 10:07:58 | INFO     | spider.longchau | Trang 97: 11 sản phẩm
2026-05-21 10:07:58 | INFO     | spider.longchau | Lấy danh sách trang 98: https://nhathuoclongchau.com.vn/thuoc?page=98
2026-05-21 10:08:02 | INFO     | spider.longchau | Trang 98: 11 sản phẩm
2026-05-21 10:08:02 | INFO     | spider.longchau | Lấy danh sách trang 99: https://nhathuoclongchau.com.vn/thuoc?page=99
2026-05-21 10:08:06 | INFO     | spider.longchau | Trang 99: 11 sản phẩm
2026-05-21 10:08:06 | INFO     | spider.longchau | Lấy danh sách trang 100: https://nhathuoclongchau.com.vn/thuoc?page=100
2026-05-21 10:08:10 | INFO     | spider.longchau | Trang 100: 11 sản phẩm
2026-05-21 10:08:17 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:08:17 | INFO     | spider.longchau | [longchau] Tổng 11 URL | Mới: 11 | Đã cào: 0
2026-05-21 10:08:17 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:08:30 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:08:30 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:08:48 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:08:48 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:09:00 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:09:00 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:09:11 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:09:11 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:09:23 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:09:23 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:09:37 | WARNING  | browser_service | Timeout chờ 'h1' tại https://nhathuoclongchau.com.vn/thuoc/enterogemina-5ml-sanofi-20-ong-17315.html
2026-05-21 10:09:45 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:09:45 | WARNING  | parser.longchau | Không tìm được tên thuốc: https://nhathuoclongchau.com.vn/thuoc/enterogemina-5ml-sanofi-20-ong-17315.html
2026-05-21 10:09:45 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:09:57 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:09:57 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:10:11 | WARNING  | browser_service | Timeout chờ 'h1' tại https://nhathuoclongchau.com.vn/thuoc/telfast-180mg-2051.html
2026-05-21 10:10:19 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:10:19 | WARNING  | parser.longchau | Không tìm được tên thuốc: https://nhathuoclongchau.com.vn/thuoc/telfast-180mg-2051.html
2026-05-21 10:10:19 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:10:31 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:10:31 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:10:43 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:10:43 | INFO     | browser_service | Khởi động browser...
2026-05-21 10:10:54 | INFO     | browser_service | Đã đóng browser.
2026-05-21 10:10:54 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\checkpoint\longchau_batch_0001.json
2026-05-21 10:10:54 | INFO     | spider.longchau | [longchau] Hoàn thành: 9 records
2026-05-21 10:10:54 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\raw\longchau\data.json
2026-05-21 10:10:54 | INFO     | medicine_repository | Đã chèn 9/9 records vào DB
2026-05-21 10:10:54 | INFO     | main | [longchau] Hoàn thành: 9 cào | 9 chèn DB
2026-05-21 10:10:54 | INFO     | main | Xuất processed data...
2026-05-21 10:10:54 | INFO     | main | Tổng: 9 | Sau dedup: 9
2026-05-21 10:10:54 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\processed\merged\all_dedup.json
2026-05-21 10:10:54 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\processed\merged\all_dedup.csv
2026-05-21 10:10:54 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\processed\by_source\longchau_clean.json
2026-05-21 10:10:54 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\processed\by_source\longchau_clean.csv
2026-05-21 10:10:54 | INFO     | main |   longchau: 9 records
2026-05-21 10:10:54 | INFO     | main | Export hoàn thành → E:\CrawlData\data\processed
2026-05-21 10:10:54 | INFO     | main | Tổng đã chèn DB: 9
2026-05-21 10:12:32 | INFO     | db_connect | Database khởi tạo tại: E:\CrawlData\data/pharma.db
2026-05-21 10:12:43 | INFO     | db_connect | Database khởi tạo tại: E:\CrawlData\data/pharma.db
2026-05-21 10:12:43 | INFO     | main | Xuất processed data...
2026-05-21 10:12:43 | INFO     | main | Tổng: 9 | Sau dedup: 9
2026-05-21 10:12:43 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\processed\merged\all_dedup.json
2026-05-21 10:12:43 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\processed\merged\all_dedup.csv
2026-05-21 10:12:43 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\processed\by_source\longchau_clean.json
2026-05-21 10:12:43 | INFO     | file_handler | Saved 9 records → E:\CrawlData\data\processed\by_source\longchau_clean.csv
2026-05-21 10:12:43 | INFO     | main |   longchau: 9 records
